Gene_ID	Symbol
ENSDARG00000002609	RNF145 (1 of 2)
ENSDARG00000002613	rpa3
ENSDARG00000002614	pip5k1aa
ENSDARG00000002632	anxa11b
ENSDARG00000002634	b4galt1
ENSDARG00000002635	FAM184A (1 of 2)
ENSDARG00000002642	sh3gl1b
ENSDARG00000002644	rgs5a
ENSDARG00000002656	stxbp5a
ENSDARG00000002659	mapre1b
ENSDARG00000002663	optn
ENSDARG00000002666	kcnj1b
ENSDARG00000002670	ATG14
ENSDARG00000002682	tbcela
ENSDARG00000002690	rabif
ENSDARG00000002701	rasl12
ENSDARG00000002702	surf4
ENSDARG00000002707	her11
ENSDARG00000002710	ncl
ENSDARG00000002720	utp15
ENSDARG00000002722	ankrd2
ENSDARG00000002731	sdc2
ENSDARG00000002732	spon2b
ENSDARG00000002745	tdh
ENSDARG00000002748	sema6d
ENSDARG00000002750	phf20a
ENSDARG00000002754	pdcd2l
ENSDARG00000002758	dedd1
ENSDARG00000002760	gdf5
ENSDARG00000002768	pvalb2
ENSDARG00000002773	htr1fa
ENSDARG00000002776	supt3h
ENSDARG00000002787	gro2
ENSDARG00000002790	ap2m1a
ENSDARG00000002791	atp1a1a.1
ENSDARG00000002792	arcn1a
ENSDARG00000002794	RNF14 (1 of 5)
ENSDARG00000002795	meis3
ENSDARG00000002798	cog8
ENSDARG00000002816	rasgrf2b
ENSDARG00000002826	cep57l1
ENSDARG00000002830	trmt2a
ENSDARG00000002831	col4a4
ENSDARG00000002837	lactb2
ENSDARG00000002847	fndc1
ENSDARG00000002877	reps1
ENSDARG00000002880	CCDC132 (1 of 2)
ENSDARG00000002894	aven
ENSDARG00000002909	tjp3
ENSDARG00000002912	adipor1a
ENSDARG00000002916	sec31b
ENSDARG00000002917	GLS2 (1 of 2)
ENSDARG00000002933	gbx2
ENSDARG00000002937	meis4.1a
ENSDARG00000002945	bgnb
ENSDARG00000002947	abcd3b
ENSDARG00000002949	ppp6c
ENSDARG00000002952	smo
ENSDARG00000002956	ITGAX
ENSDARG00000002967	pdap1b
ENSDARG00000002970	ss18
ENSDARG00000002971	phc1
ENSDARG00000002980	vps54
ENSDARG00000002981	cyp2aa4
ENSDARG00000002986	gda
ENSDARG00000002988	tnnt2d
ENSDARG00000002991	cep135
ENSDARG00000002994	itpkca
ENSDARG00000003008	prkcea
ENSDARG00000003016	eef2b
ENSDARG00000003020	lrrc4.2
ENSDARG00000003021	hdac8
ENSDARG00000003022	limk1b
ENSDARG00000003025	ANGPTL1 (1 of 2)
ENSDARG00000003027	scnm1
ENSDARG00000003032	eif4a1b
ENSDARG00000003035	hspa9
ENSDARG00000003041	PELI2 (1 of 2)
ENSDARG00000003046	sorbs2a
ENSDARG00000003051	hccs
ENSDARG00000003058	fgfr1op
ENSDARG00000003061	cd276
ENSDARG00000003068	gorasp1
ENSDARG00000003069	btbd7
ENSDARG00000003081	mybphb
ENSDARG00000003085	stambpl1
ENSDARG00000003087	ubxn6
ENSDARG00000003091	oclnb
ENSDARG00000003098	kdm5bb
ENSDARG00000003109	rcan1a
ENSDARG00000003113	ada
ENSDARG00000003132	apip
ENSDARG00000003142	dachc
ENSDARG00000003144	pxmp2
ENSDARG00000003145	CLMP
ENSDARG00000003151	skp1
ENSDARG00000003153	cpsf5
ENSDARG00000003157	nfkbil1
ENSDARG00000003165	nr2f6b
ENSDARG00000003167	mlst8
ENSDARG00000003169	magi1b
ENSDARG00000003175	stx5al
ENSDARG00000003181	sult1st4
ENSDARG00000003189	psmd1
ENSDARG00000003191	pkmb
ENSDARG00000003193	rassf7b
ENSDARG00000003197	wdr21
ENSDARG00000003200	foxm1
ENSDARG00000003203	rhcga
ENSDARG00000003205	ngly1
ENSDARG00000003206	chchd6a
ENSDARG00000003207	mterfd1
ENSDARG00000003208	pomk
ENSDARG00000003210	ANO2 (1 of 2)
ENSDARG00000003213	naa15a
ENSDARG00000003216	anxa2a
ENSDARG00000003217	urb2
ENSDARG00000003235	nup88
ENSDARG00000003244	gbp3
ENSDARG00000003250	pik3cd
ENSDARG00000003251	zbtb22b
ENSDARG00000003259	lox
ENSDARG00000003263	pop4
ENSDARG00000003269	clcn3
ENSDARG00000003270	dhps
ENSDARG00000003281	pik3ip1
ENSDARG00000003283	zfand2a
ENSDARG00000003287	wdr12
ENSDARG00000003293	sox9a
ENSDARG00000003303	stc1
ENSDARG00000003307	stx16
ENSDARG00000003308	emc2
ENSDARG00000003311	pank2
ENSDARG00000003313	EPS8L1 (1 of 2)
ENSDARG00000003320	fam91a1
ENSDARG00000003323	dcp1a
ENSDARG00000003328	fam178a
ENSDARG00000003344	trpc2b
ENSDARG00000003373	commd2
ENSDARG00000003375	gng12a
ENSDARG00000003380	PAOX
ENSDARG00000003382	cwc25
ENSDARG00000003383	asb8
ENSDARG00000003384	akap17a
ENSDARG00000003391	snx7
ENSDARG00000003395	col4a3
ENSDARG00000003397	sdr42e1
ENSDARG00000003398	rbpja
ENSDARG00000003399	fgf8a
ENSDARG00000003403	tenm1
ENSDARG00000003411	foxa2
ENSDARG00000003414	capslb
ENSDARG00000003420	chrna5
ENSDARG00000003421	igf2bp2a
ENSDARG00000003429	hnrpdl
ENSDARG00000003444	dhrs7
ENSDARG00000003446	ippk
ENSDARG00000003449	pde10a
ENSDARG00000003462	fech
ENSDARG00000003469	neurod4
ENSDARG00000003470	slc25a42
ENSDARG00000003475	sult1st5
ENSDARG00000003486	ppp1caa
ENSDARG00000003487	nup93
ENSDARG00000003495	madd
ENSDARG00000003511	mrpl3
ENSDARG00000003512	anks1b
ENSDARG00000003513	thrap3b
ENSDARG00000003517	impa1
ENSDARG00000003519	aprt
ENSDARG00000003520	tbc1d14
ENSDARG00000003526	psma5
ENSDARG00000003527	mak16
ENSDARG00000003531	tcea1
ENSDARG00000003533	col8a1b
ENSDARG00000003544	adarb1b
ENSDARG00000003546	unc45a
ENSDARG00000003564	dohh
ENSDARG00000003570	hsp90b1
ENSDARG00000003573	dctn5
ENSDARG00000003576	klhl32
ENSDARG00000003582	CCDC34
ENSDARG00000003584	pla2g7
ENSDARG00000003592	surf1
ENSDARG00000003599	rpl3
ENSDARG00000003607	nr2f6a
ENSDARG00000003616	arih1
ENSDARG00000003631	clock3
ENSDARG00000003635	atp6v1e1a
ENSDARG00000003641	tfg
ENSDARG00000003642	zfyve19
ENSDARG00000003655	tmem59l
ENSDARG00000003675	cryl1
ENSDARG00000003680	runx1t1
ENSDARG00000003681	eif5
ENSDARG00000003682	HECTD4 (1 of 3)
ENSDARG00000003684	obsl1a
ENSDARG00000003693	hars
ENSDARG00000003695	vdac3
ENSDARG00000003699	atp7a
ENSDARG00000003705	prnprs3
ENSDARG00000003706	ryr2b
ENSDARG00000003732	mitfa
ENSDARG00000003749	polb
ENSDARG00000003750	pfas
ENSDARG00000003751	lats1
ENSDARG00000003754	tspan2
ENSDARG00000003757	cnpy1
ENSDARG00000003769	tada2b
ENSDARG00000003776	pip4k2aa
ENSDARG00000003779	ctnnd2b
ENSDARG00000003789	dennd5b
ENSDARG00000003795	IDH2
ENSDARG00000003797	asb2a.1
ENSDARG00000003808	aqp3a
ENSDARG00000003811	plxnb2a
ENSDARG00000003813	srp54
ENSDARG00000003818	prkag1
ENSDARG00000003820	nr1d2a
ENSDARG00000003822	ankrd16
ENSDARG00000003827	snapc1b
ENSDARG00000003829	galnt2
ENSDARG00000003835	stom
ENSDARG00000003836	tmem63ba
ENSDARG00000003841	usb1
ENSDARG00000003845	chm
ENSDARG00000003846	mrpl21
ENSDARG00000003854	acsl1b
ENSDARG00000003860	cbx3a
ENSDARG00000003865	pard6b
ENSDARG00000003866	tm9sf2
ENSDARG00000003867	cdk20
ENSDARG00000003869	decr1
ENSDARG00000003872	ccdc102a
ENSDARG00000003877	PBRM1 (1 of 2)
ENSDARG00000003882	sbno2a
ENSDARG00000003899	zdhhc23b
ENSDARG00000003902	ctsl.1
ENSDARG00000003903	hapln2
ENSDARG00000003910	med13b
ENSDARG00000003920	setb
ENSDARG00000003925	cx28.6
ENSDARG00000003927	cldn12
ENSDARG00000003931	cndp2
ENSDARG00000003933	pkma
ENSDARG00000003934	nxnl2
ENSDARG00000003938	rpa1
ENSDARG00000003940	mtfr1l
ENSDARG00000003941	rrs1
ENSDARG00000003952	pfn2
ENSDARG00000003961	parp3
ENSDARG00000003963	traf4a
ENSDARG00000003971	isl2a
ENSDARG00000003973	chordc1a
ENSDARG00000003974	spoplb
ENSDARG00000003984	LTN1
ENSDARG00000003989	crhr1
ENSDARG00000003991	fhl2b
ENSDARG00000003994	syt9a
ENSDARG00000003998	phyhipla
ENSDARG00000004015	adcyap1a
ENSDARG00000004017	spag1a
ENSDARG00000004018	CHST13
ENSDARG00000004023	isl1
ENSDARG00000004034	arhgdig
ENSDARG00000004037	cog2
ENSDARG00000004046	phf6
ENSDARG00000004049	marcksa
ENSDARG00000004055	uhrf1bp1l
ENSDARG00000004059	galk2
ENSDARG00000004060	bhlhe40
ENSDARG00000004074	bach2b
ENSDARG00000004078	acsl4a
ENSDARG00000004082	cx39.9
ENSDARG00000004094	acsbg2
ENSDARG00000004105	tie1
ENSDARG00000004111	esr1
ENSDARG00000004114	tti1
ENSDARG00000004115	mgat4b
ENSDARG00000004130	mvk
ENSDARG00000004131	rttn
ENSDARG00000004132	usp19
ENSDARG00000004148	aplp1
ENSDARG00000004150	grm2a
ENSDARG00000004151	rab23
ENSDARG00000004154	orai1b
ENSDARG00000004158	TMEM63C
ENSDARG00000004160	reep3b
ENSDARG00000004161	ik
ENSDARG00000004169	stmn1a
ENSDARG00000004171	rabac1
ENSDARG00000004173	copa
ENSDARG00000004174	cnot1
ENSDARG00000004176	ulk4
ENSDARG00000004177	fam169ab
ENSDARG00000004184	nf1b
ENSDARG00000004187	DNAJB5 (1 of 2)
ENSDARG00000004189	cbx1a
ENSDARG00000004196	tnfsf10l
ENSDARG00000004204	efhc2
ENSDARG00000004211	ccdc106a
ENSDARG00000004218	rnd1l
ENSDARG00000004219	SLC6A3
ENSDARG00000004221	dnah9
ENSDARG00000004227	pde3a
ENSDARG00000004232	dlb
ENSDARG00000004246	slit2
ENSDARG00000004251	dhfr
ENSDARG00000004256	wnt11
ENSDARG00000004261	tmed9
ENSDARG00000004262	cyp46a2
ENSDARG00000004270	atl3
ENSDARG00000004280	seh1l
ENSDARG00000004291	hecw1b
ENSDARG00000004297	irf2bpl
ENSDARG00000004301	rhogb
ENSDARG00000004302	slc45a1
ENSDARG00000004305	vangl1
ENSDARG00000004306	klhl18
ENSDARG00000004307	lypd6
ENSDARG00000004308	fam8a1
ENSDARG00000004311	ldlrap1a
ENSDARG00000004312	vapa
ENSDARG00000004318	cbwd
ENSDARG00000004325	casp9
ENSDARG00000004336	exoc4
ENSDARG00000004342	srsf11
ENSDARG00000004343	nelfe
ENSDARG00000004363	lhfp
ENSDARG00000004372	fmnl3
ENSDARG00000004377	ppp1r13ba
ENSDARG00000004378	yrk
ENSDARG00000004392	hdr
ENSDARG00000004396	b3gnt5b
ENSDARG00000004402	elovl6
ENSDARG00000004405	snx10a
ENSDARG00000004406	spra
ENSDARG00000004415	tcf7l2
ENSDARG00000004427	dpy30
ENSDARG00000004433	btk
ENSDARG00000004436	fam92a1
ENSDARG00000004445	GRM5 (1 of 2)
ENSDARG00000004451	tnfrsfa
ENSDARG00000004452	tardbpl
ENSDARG00000004455	p2rx5
ENSDARG00000004460	desi2
ENSDARG00000004470	prkcsh
ENSDARG00000004472	atat1
ENSDARG00000004473	tbx21
ENSDARG00000004492	pcyt1ab
ENSDARG00000004497	tspan33
ENSDARG00000004498	xkr8.1
ENSDARG00000004502	rcor3
ENSDARG00000004517	ppat
ENSDARG00000004527	pin4
ENSDARG00000004532	cobl
ENSDARG00000004537	kmt2a
ENSDARG00000004539	ptgs2a
ENSDARG00000004574	gtf3c2
ENSDARG00000004576	plk4
ENSDARG00000004580	nmnat2
ENSDARG00000004581	sel1l
ENSDARG00000004586	ntrk1
ENSDARG00000004587	KAT5 (1 of 2)
ENSDARG00000004588	sox4a
ENSDARG00000004592	gpr22
ENSDARG00000004594	znf800a
ENSDARG00000004597	lrrc4ba
ENSDARG00000004616	mtmr2
ENSDARG00000004618	stx2a
ENSDARG00000004621	gpm6ab
ENSDARG00000004627	panx3
ENSDARG00000004632	egln1
ENSDARG00000004633	EPN3 (1 of 2)
ENSDARG00000004634	osbp
ENSDARG00000004635	epha7
ENSDARG00000004636	ccdc9
ENSDARG00000004647	spice1
ENSDARG00000004665	hspa5
ENSDARG00000004672	ptk2.1
ENSDARG00000004680	dnajb6a
ENSDARG00000004687	acaa1
ENSDARG00000004692	nabp1a
ENSDARG00000004695	six4a
ENSDARG00000004696	eefsec
ENSDARG00000004697	rxrgb
ENSDARG00000004702	irf2bp2a
ENSDARG00000004706	syf2
ENSDARG00000004713	mad2l1
ENSDARG00000004714	tcf12
ENSDARG00000004722	ddr2l
ENSDARG00000004724	tcea3
ENSDARG00000004726	trappc11
ENSDARG00000004727	cmss1
ENSDARG00000004729	tfe3a
ENSDARG00000004735	hnrnpub
ENSDARG00000004736	pacrg
ENSDARG00000004745	lmbr1l
ENSDARG00000004753	mylkb
ENSDARG00000004754	hspa4a
ENSDARG00000004757	ybx1
ENSDARG00000004763	HHLA2 (1 of 4)
ENSDARG00000004771	ankrd10b
ENSDARG00000004774	wdr36
ENSDARG00000004780	CCDC142
ENSDARG00000004782	fgfr3
ENSDARG00000004785	cops2
ENSDARG00000004789	lrp1ba
ENSDARG00000004794	ccdc146
ENSDARG00000004796	mgrn1b
ENSDARG00000004798	b4galt4
ENSDARG00000004806	grwd1
ENSDARG00000004830	flot2a
ENSDARG00000004836	dnajc5ab
ENSDARG00000004840	rassf1
ENSDARG00000004843	foxp1a
ENSDARG00000004851	hinfp
ENSDARG00000004861	esrrga
ENSDARG00000004864	FOXR1
ENSDARG00000004866	fam63a
ENSDARG00000004870	psen1
ENSDARG00000004871	mst1rb
ENSDARG00000004874	spata6l
ENSDARG00000004875	TMC6 (1 of 2)
ENSDARG00000004877	rock2b
ENSDARG00000004880	acsm3
ENSDARG00000004889	aga
ENSDARG00000004891	pex19
ENSDARG00000004896	lonp2
ENSDARG00000004904	gys2
ENSDARG00000004906	stip1
ENSDARG00000004909	cat
ENSDARG00000004917	pcif1
ENSDARG00000004925	immp2l
ENSDARG00000004926	slbp
ENSDARG00000004930	lmo7a
ENSDARG00000004931	slc8a3
ENSDARG00000004932	kal1b
ENSDARG00000004937	skp2
ENSDARG00000004939	mtdhb
ENSDARG00000004948	bccip
ENSDARG00000004952	rsad2
ENSDARG00000004954	grna
ENSDARG00000004956	zmat2
ENSDARG00000004958	uvssa
ENSDARG00000004964	cyp4t8
ENSDARG00000004965	bmp5
ENSDARG00000004979	elovl5
ENSDARG00000004988	ppp3ca
ENSDARG00000005001	grem2
ENSDARG00000005002	brf1b
ENSDARG00000005015	TSPY2
ENSDARG00000005023	fkbp9
ENSDARG00000005026	tshz1
ENSDARG00000005033	trip4
ENSDARG00000005034	ispd
ENSDARG00000005039	gstp1
ENSDARG00000005049	rab20
ENSDARG00000005050	wnt2ba
ENSDARG00000005057	dimt1l
ENSDARG00000005058	ncapd2
ENSDARG00000005078	eif4e3
ENSDARG00000005085	ggctb
ENSDARG00000005092	cep89
ENSDARG00000005095	glcea
ENSDARG00000005104	limk2
ENSDARG00000005108	oclna
ENSDARG00000005112	cdh17
ENSDARG00000005115	calub
ENSDARG00000005121	mfn1b
ENSDARG00000005122	atp2a2b
ENSDARG00000005126	large
ENSDARG00000005128	rnaseh2b
ENSDARG00000005134	psmd11b
ENSDARG00000005139	hhatlb
ENSDARG00000005141	camkvb
ENSDARG00000005150	tbx20
ENSDARG00000005154	aspa
ENSDARG00000005159	CYTH3 (1 of 3)
ENSDARG00000005161	gpib
ENSDARG00000005162	tpm3
ENSDARG00000005163	efr3a
ENSDARG00000005172	dynll2b
ENSDARG00000005173	pax7a
ENSDARG00000005186	sp4
ENSDARG00000005191	ahcy
ENSDARG00000005210	coro2a
ENSDARG00000005218	wrnip1
ENSDARG00000005220	pdcd6
ENSDARG00000005230	ssr2
ENSDARG00000005232	ccdc85ca
ENSDARG00000005236	srcap
ENSDARG00000005246	asb3
ENSDARG00000005251	rpe
ENSDARG00000005254	kdelr2a
ENSDARG00000005271	zc3h12a
ENSDARG00000005273	ergic1
ENSDARG00000005274	rad52
ENSDARG00000005284	fbxl15
ENSDARG00000005315	celf1
ENSDARG00000005318	stam2
ENSDARG00000005327	ftr66
ENSDARG00000005333	tln1
ENSDARG00000005343	ccdc85al
ENSDARG00000005350	dip2ba
ENSDARG00000005355	larp6
ENSDARG00000005356	tyro3
ENSDARG00000005359	sucla2
ENSDARG00000005364	grin3b
ENSDARG00000005368	mcamb
ENSDARG00000005371	gprc6a
ENSDARG00000005372	camk4
ENSDARG00000005374	tubgcp4
ENSDARG00000005382	prdm9
ENSDARG00000005394	dnmt3aa
ENSDARG00000005397	trim3b
ENSDARG00000005414	grapa
ENSDARG00000005416	map3k5
ENSDARG00000005419	il1b
ENSDARG00000005423	pgam1a
ENSDARG00000005425	wdfy1
ENSDARG00000005448	mtfmt
ENSDARG00000005451	gdi2
ENSDARG00000005453	foxp2
ENSDARG00000005454	tacc3
ENSDARG00000005456	katnb1
ENSDARG00000005458	csnk1g2a
ENSDARG00000005462	KIF4A
ENSDARG00000005463	slc30a1a
ENSDARG00000005464	dnase1l3
ENSDARG00000005468	irf2bp1
ENSDARG00000005470	kif5aa
ENSDARG00000005476	nav3
ENSDARG00000005479	tenm3
ENSDARG00000005481	nfkbiaa
ENSDARG00000005482	rapgef2
ENSDARG00000005485	ucmab
ENSDARG00000005500	dgcr6
ENSDARG00000005513	naca
ENSDARG00000005525	acy3.2
ENSDARG00000005526	igfn1.1
ENSDARG00000005536	ubr7
ENSDARG00000005540	xpo7
ENSDARG00000005541	wif1
ENSDARG00000005544	btbd3a
ENSDARG00000005547	rint1
ENSDARG00000005549	ZNF710 (1 of 2)
ENSDARG00000005551	hnrnph1l
ENSDARG00000005559	pou4f1
ENSDARG00000005560	ywhah
ENSDARG00000005561	gfm2
ENSDARG00000005565	entpd8
ENSDARG00000005567	map2k6
ENSDARG00000005574	vsx2
ENSDARG00000005576	mphosph8
ENSDARG00000005578	ugp2a
ENSDARG00000005586	zbtb20
ENSDARG00000005590	mtf2
ENSDARG00000005593	rxrga
ENSDARG00000005595	adgb
ENSDARG00000005600	bmpr1ba
ENSDARG00000005606	paxip1
ENSDARG00000005612	aph1b
ENSDARG00000005619	nek2
ENSDARG00000005620	ehd1a
ENSDARG00000005625	tmem57a
ENSDARG00000005626	RHOU (1 of 2)
ENSDARG00000005628	evx1
ENSDARG00000005629	smyd2b
ENSDARG00000005640	adat3
ENSDARG00000005642	fbxw5
ENSDARG00000005643	gcat
ENSDARG00000005645	robo3
ENSDARG00000005648	olfml2a
ENSDARG00000005651	hrasb
ENSDARG00000005652	man1a1
ENSDARG00000005670	ttbk2
ENSDARG00000005673	f3b
ENSDARG00000005675	sec61al2
ENSDARG00000005679	TRIP10
ENSDARG00000005699	ddx19
ENSDARG00000005704	eps8l3
ENSDARG00000005713	ethe1
ENSDARG00000005716	olfml2ba
ENSDARG00000005738	rpf1
ENSDARG00000005739	gpm6ba
ENSDARG00000005749	cand2
ENSDARG00000005754	ptprfb
ENSDARG00000005756	dync1i2a
ENSDARG00000005762	col14a1a
ENSDARG00000005772	tsr2
ENSDARG00000005774	pl10
ENSDARG00000005775	scn8aa
ENSDARG00000005783	ncanb
ENSDARG00000005785	elovl7b
ENSDARG00000005786	ppm1f
ENSDARG00000005789	enpp1
ENSDARG00000005791	rpl28
ENSDARG00000005799	smim14
ENSDARG00000005800	ampd3a
ENSDARG00000005821	ncf2
ENSDARG00000005823	slc39a10
